x,y,z,vx,vy,vz,ax,ay,az,yaw_rate,res_dx,res_dy,res_dz,res_dvx,res_dvy,res_dvz
5.451266765594482422e-01,2.400503009557723999e-01,3.081581830978393555e+00,-4.098287820816040039e-01,1.480215787887573242e-01,-9.158905595541000366e-02,-1.868731701578215387e-01,-5.296044924307306001e-01,-2.283494444083723263e+00,0.000000000000000000e+00,8.196575641632120046e-03,-2.960431575775135382e-03,1.831781119108200073e-03,3.737463403156449093e-03,1.059208984861462199e-02,4.566988888167447525e-02
5.451266765594482422e-01,2.400503009557723999e-01,3.081581830978393555e+00,-4.098287820816040039e-01,1.480215787887573242e-01,-9.158905595541000366e-02,-1.808837860861768343e-01,-3.540035173804066959e-01,-2.283494437231692320e+00,-2.237136794231328103e-23,-2.030270099639852610e-03,1.198553711175918690e-01,-2.491782978177070618e-02,-1.874384123079109177e-02,-7.785373958843846975e-02,5.765064586190526974e-02
5.348998308181762695e-01,3.628661036491394043e-01,3.054832220077514648e+00,-4.321902990341186523e-01,6.308776885271072388e-02,-7.960829883813858032e-02,-8.365179962649156586e-02,-1.984307957186666194e-01,-2.274727298292930300e+00,4.180416682149080520e-23,8.643805980682373047e-03,-1.261755377054196714e-03,1.592165976762593971e-03,1.673035992529825489e-03,3.968615914373335718e-03,4.549454596585861266e-02
5.348998308181762695e-01,3.628661036491394043e-01,3.054832220077514648e+00,-4.321902990341186523e-01,6.308776885271072388e-02,-7.960829883813858032e-02,-6.030182209634493001e-02,-4.697253117508443793e-02,-2.274727297769171930e+00,4.540288547776377108e-24,-1.403385400772094727e-02,9.181232795119287360e-02,-1.378940865397471072e-02,-1.534945166766171765e-02,-9.122006648589238431e-02,6.920082565041746347e-02
5.122221708297729492e-01,4.559401869773864746e-01,3.039450645446777344e+00,-4.487457871437072754e-01,-2.907174825668334961e-02,-5.590201914310455322e-02,6.843963290816096334e-02,1.587613999434654144e-01,-2.331278499867576848e+00,-3.184212624823743968e-26,8.974915742874123303e-03,5.814349651336869762e-04,1.118040382861895665e-03,-1.368792658163198173e-03,-3.175227998869309398e-03,4.662556999735154029e-02
5.122221708297729492e-01,4.559401869773864746e-01,3.039450645446777344e+00,-4.487457871437072754e-01,-2.907174825668334961e-02,-5.590201914310455322e-02,1.058828954625004176e-01,2.969735948778235990e-01,-2.331278503048671791e+00,-2.905293777223965855e-23,-4.599430561065676049e-02,8.116131186485292526e-02,-1.417865723371525277e-02,-1.845967198357556516e-02,-8.498502093262880197e-02,1.229223167917778831e-01
4.572529494762420654e-01,5.365200638771057129e-01,3.024153947830200195e+00,-4.650878012180328369e-01,-1.081172972917556763e-01,2.039472758769989014e-02,3.253315595895777124e-01,4.895531468673170461e-01,-2.580608917793338453e+00,-1.096055361858857591e-22,-2.658363759517667901e-02,4.230851799249646383e-02,2.351203560828629691e-04,-5.074897821964297062e-03,-1.618942038830840924e-02,1.238413178626836253e-01
4.213675558567047119e-01,5.766662359237670898e-01,3.024796962738037109e+00,-4.636560678482055664e-01,-1.145156547427177429e-01,9.262386709451675415e-02,4.547835129280197175e-01,5.836122017958411679e-01,-2.846413096550694188e+00,1.984122364943612147e-23,9.273121356964120210e-03,2.290313094854390386e-03,-1.852477341890423901e-03,-9.095670258560395460e-03,-1.167224403591682336e-02,5.692826193101388488e-02
4.213675558567047119e-01,5.766662359237670898e-01,3.024796962738037109e+00,-4.636560678482055664e-01,-1.145156547427177429e-01,9.262386709451675415e-02,5.138570474547167199e-01,7.175291668040650883e-01,-2.846413096473433768e+00,-2.457609063366803102e-23,-8.121200442314147061e-02,7.837564215064052320e-02,9.534155577421099537e-03,4.064763703552481955e-02,8.296848505106946270e-02,6.675215046973662081e-02
2.593004107475280762e-01,7.681456804275512695e-01,3.027806997299194336e+00,-2.742577195167541504e-01,2.293714284896850586e-01,1.405734010040760040e-02,6.180229567793587009e-01,3.041795038732669210e-01,-2.564587942569783063e+00,-2.183423755025409345e-23,5.485154390335089669e-03,-4.587428569793661204e-03,-2.811468020080809538e-04,-1.236045913558719844e-02,-6.083590077465339530e-03,5.129175885139566210e-02
2.593004107475280762e-01,7.681456804275512695e-01,3.027806997299194336e+00,-2.742577195167541504e-01,2.293714284896850586e-01,1.405734010040760040e-02,6.936220797182782727e-01,4.146068535755028650e-01,-2.564587942486049599e+00,1.070669444289588979e-23,-3.308563709259032537e-02,1.299581956863403720e-01,-3.222732905298464345e-02,1.529399633958306581e-01,2.352038934975664852e-01,-2.803064227600057801e-03
2.207296192646026611e-01,9.026913046836853027e-01,2.995860815048217773e+00,-1.074453145265579224e-01,4.728674590587615967e-01,-4.003748297691345215e-02,4.181097740843507382e-01,-5.963419306279588855e-02,-2.303592020923824979e+00,3.171348391376235127e-24,-1.737540066242215797e-03,6.964236557483671763e-02,-1.210341751575461089e-02,9.427473831069546617e-02,1.196831115937235790e-01,5.887317281772558308e-02
2.168431729078292847e-01,9.817910194396972656e-01,2.982956647872924805e+00,-4.808380734175443649e-03,5.913578867912292480e-01,-2.723615057766437531e-02,2.402334378089961697e-01,-2.489270128803526549e-01,-2.325079789068957403e+00,2.361814505900697123e-24,1.017598359845578448e-02,8.178134083747867766e-02,-1.270181324332941841e-02,1.095059082899462050e-01,1.089188483516316808e-01,9.828435468786279883e-02
2.269229888916015625e-01,1.075399518013000488e+00,2.969710111618041992e+00,1.095021963119506836e-01,6.952981948852539062e-01,2.454660832881927490e-02,9.480994971365787685e-03,-4.240072814557221403e-01,-2.488662894783194357e+00,-2.949869288211267199e-24,-2.190043926239004790e-03,-1.390596389770504260e-02,-4.909321665764743159e-04,-1.896198994273123883e-04,8.480145629114477224e-03,4.977325789566389158e-02
2.269229888916015625e-01,1.075399518013000488e+00,2.969710111618041992e+00,1.095021963119506836e-01,6.952981948852539062e-01,2.454660832881927490e-02,1.000052002678918778e-01,-3.252356193979302756e-01,-2.488662894834172690e+00,-7.976215306731929010e-25,4.492954373359681064e-02,1.632267618179321644e-01,4.280538856983095997e-03,1.567688180851725677e-01,7.716285972301106799e-02,1.572850465033271417e-01
2.740425765514373779e-01,1.252532243728637695e+00,2.974481582641601562e+00,2.682711184024810791e-01,7.659563422203063965e-01,1.320583969354629517e-01,-3.408554585784371871e-01,-5.551281204065878772e-01,-2.891814809682487830e+00,2.280855702043967375e-24,-5.365422368049599378e-03,-1.531912684440617234e-02,-2.641167938709276797e-03,6.817109171568747072e-03,1.110256240813178863e-02,5.783629619364975827e-02
2.740425765514373779e-01,1.252532243728637695e+00,2.974481582641601562e+00,2.682711184024810791e-01,7.659563422203063965e-01,1.320583969354629517e-01,-2.353400743000579332e-01,-4.533373159921883500e-01,-2.891814809919600826e+00,1.098709951069459021e-24,4.947991073131563500e-02,1.439174234867095503e-01,6.131682097911816953e-03,6.742841155527606878e-02,-8.159072629062991133e-02,8.001311325790892715e-02
3.866012990474700928e-01,1.550082087516784668e+00,2.996118545532226562e+00,2.549932003021240234e-01,4.243790507316589355e-01,1.514390483498573303e-02,-5.044560568498643316e-02,1.572295294994538184e-01,-2.506200656443409169e+00,6.804380326220208653e-24,-5.099864006042453823e-03,-8.487581014633205356e-03,-3.028780966998212421e-04,1.008912113699744761e-03,-3.144590589989060270e-03,5.012401312886818200e-02
3.866012990474700928e-01,1.550082087516784668e+00,2.996118545532226562e+00,2.549932003021240234e-01,4.243790507316589355e-01,1.514390483498573303e-02,8.592347042401658752e-02,2.565896728234767221e-01,-2.506200656427779005e+00,8.508154988563729506e-24,5.511789321899440708e-03,3.897965073585507589e-02,-2.476462431252013374e-02,-1.476986263665834853e-01,-2.029721413425550347e-01,-1.687809332939310680e-02
3.972129523754119873e-01,1.597549319267272949e+00,2.971656799316406250e+00,1.090130433440208435e-01,2.265387028455734253e-01,-5.185820162296295166e-02,5.752110838098182244e-01,6.372520854373103782e-01,-2.212662217846616652e+00,-1.756848641140503625e-26,-2.180260866880390225e-03,-4.530774056911379688e-03,1.037164032459347851e-03,-1.150422167619635783e-02,-1.274504170874621312e-02,4.425324435693234193e-02
3.972129523754119873e-01,1.597549319267272949e+00,2.971656799316406250e+00,1.090130433440208435e-01,2.265387028455734253e-01,-5.185820162296295166e-02,7.370172102368155453e-01,7.414873701248082538e-01,-2.212662217534325571e+00,-2.642238991285726758e-27,-3.537939235568043905e-02,2.202249914407738984e-02,-7.750706374645144336e-03,-1.370107699863439277e-01,-7.307495924217205507e-02,1.937879242999701046e-01
4.315098524093627930e-01,1.993086099624633789e+00,3.074674844741821289e+00,8.378190398216247559e-01,9.480355381965637207e-01,-1.759068071842193604e-01,-1.190481144996036883e-01,-3.929984101318717560e-01,-1.974728622723535887e+00,1.010503012213220913e-23,-1.675638079643249068e-02,-1.896071076393113231e-02,3.518136143684458261e-03,2.380962289992072378e-03,7.859968202637457324e-03,3.949457245447071663e-02
4.315098524093627930e-01,1.993086099624633789e+00,3.074674844741821289e+00,8.378190398216247559e-01,9.480355381965637207e-01,-1.759068071842193604e-01,4.259193520027047819e-02,-3.313611488017170204e-01,-1.974728624712901004e+00,-1.078665835964347158e-23,1.608578908443450972e-01,1.330924069881440630e-01,-3.265401542186729955e-02,3.790698956290329269e-01,9.757097669536418660e-02,-5.106867935429471039e-03
